EVENT_NAME,EVENT_YEAR,ED_ABBREVIATION,ED_NAME,AGE_GROUP,PARTICIPATION,REGISTERED_VOTERS,EVENT_DATE_TEXT
General Election 2017,2017,NOC,North Coast,25-34,"1,149","2,451",05/09/2017
General Election 2017,2017,NOC,North Coast,35-44,"1,310","2,345",05/09/2017
General Election 2017,2017,NOC,North Coast,45-54,"1,728","2,847",05/09/2017
General Election 2017,2017,NOC,North Coast,55-64,"2,211","3,288",05/09/2017
General Election 2017,2017,NOC,North Coast,65-74,"1,521","2,052",05/09/2017
General Election 2017,2017,NOC,North Coast,75+,729,"1,089",05/09/2017
General Election 2017,2017,NOI,North Island,18-24,"1,128","2,166",05/09/2017
General Election 2017,2017,NOI,North Island,25-34,"2,369","5,451",05/09/2017
General Election 2017,2017,NOI,North Island,35-44,"2,966","5,644",05/09/2017
General Election 2017,2017,NOI,North Island,45-54,"3,972","7,009",05/09/2017
General Election 2017,2017,NOI,North Island,55-64,"6,707","9,717",05/09/2017
General Election 2017,2017,NOI,North Island,65-74,"5,910","7,552",05/09/2017
General Election 2017,2017,NOI,North Island,75+,"2,927","4,031",05/09/2017
General Election 2017,2017,NVL,North Vancouver-Lonsdale,18-24,"1,616","2,573",05/09/2017
General Election 2017,2017,NVL,North Vancouver-Lonsdale,25-34,"4,008","7,239",05/09/2017
General Election 2017,2017,NVL,North Vancouver-Lonsdale,35-44,"4,432","7,077",05/09/2017
General Election 2017,2017,NVL,North Vancouver-Lonsdale,45-54,"5,126","7,845",05/09/2017
General Election 2017,2017,NVL,North Vancouver-Lonsdale,55-64,"5,451","7,735",05/09/2017
General Election 2017,2017,NVL,North Vancouver-Lonsdale,65-74,"3,952","5,262",05/09/2017
General Election 2017,2017,NVL,North Vancouver-Lonsdale,75+,"2,756","3,898",05/09/2017
General Election 2017,2017,NVS,North Vancouver-Seymour,18-24,"2,376","3,742",05/09/2017
General Election 2017,2017,NVS,North Vancouver-Seymour,25-34,"2,713","4,957",05/09/2017
General Election 2017,2017,NVS,North Vancouver-Seymour,35-44,"4,418","6,512",05/09/2017
General Election 2017,2017,NVS,North Vancouver-Seymour,45-54,"5,893","8,299",05/09/2017
General Election 2017,2017,NVS,North Vancouver-Seymour,55-64,"6,164","8,045",05/09/2017
General Election 2017,2017,NVS,North Vancouver-Seymour,65-74,"4,174","5,139",05/09/2017
General Election 2017,2017,NVS,North Vancouver-Seymour,75+,"2,853","3,956",05/09/2017
General Election 2017,2017,OBG,Oak Bay-Gordon Head,18-24,"2,730","4,364",05/09/2017
General Election 2017,2017,OBG,Oak Bay-Gordon Head,25-34,"2,706","5,310",05/09/2017
General Election 2017,2017,OBG,Oak Bay-Gordon Head,35-44,"3,314","4,918",05/09/2017
General Election 2017,2017,OBG,Oak Bay-Gordon Head,45-54,"4,738","6,365",05/09/2017
General Election 2017,2017,OBG,Oak Bay-Gordon Head,55-64,"5,795","7,361",05/09/2017
General Election 2017,2017,OBG,Oak Bay-Gordon Head,65-74,"5,750","6,812",05/09/2017
General Election 2017,2017,OBG,Oak Bay-Gordon Head,75+,"4,566","5,987",05/09/2017
General Election 2017,2017,PAQ,Parksville-Qualicum,18-24,"1,036","1,918",05/09/2017
General Election 2017,2017,PAQ,Parksville-Qualicum,25-34,"1,628","3,641",05/09/2017
General Election 2017,2017,PAQ,Parksville-Qualicum,35-44,"2,283","3,886",05/09/2017
General Election 2017,2017,PAQ,Parksville-Qualicum,45-54,"3,614","5,794",05/09/2017
General Election 2017,2017,PAQ,Parksville-Qualicum,55-64,"7,027","9,428",05/09/2017
General Election 2017,2017,PAQ,Parksville-Qualicum,65-74,"9,498","11,565",05/09/2017
General Election 2017,2017,PAQ,Parksville-Qualicum,75+,"7,132","9,659",05/09/2017
General Election 2017,2017,PCN,Peace River North,18-24,"1,168","2,035",05/09/2017
General Election 2017,2017,PCN,Peace River North,25-34,"2,899","6,282",05/09/2017
General Election 2017,2017,PCN,Peace River North,35-44,"2,701","5,013",05/09/2017
General Election 2017,2017,PCN,Peace River North,45-54,"2,838","4,904",05/09/2017
General Election 2017,2017,PCN,Peace River North,55-64,"2,861","4,410",05/09/2017
General Election 2017,2017,PCN,Peace River North,65-74,"1,471","2,132",05/09/2017
General Election 2017,2017,PCN,Peace River North,75+,773,"1,153",05/09/2017
General Election 2017,2017,PCS,Peace River South,18-24,612,"1,256",05/09/2017
General Election 2017,2017,PCS,Peace River South,25-34,"1,297","3,395",05/09/2017
General Election 2017,2017,PCS,Peace River South,35-44,"1,182","2,773",05/09/2017
General Election 2017,2017,PCS,Peace River South,45-54,"1,636","3,336",05/09/2017
General Election 2017,2017,PCS,Peace River South,55-64,"1,977","3,561",05/09/2017
General Election 2017,2017,PCS,Peace River South,65-74,"1,343","2,047",05/09/2017
General Election 2017,2017,PCS,Peace River South,75+,820,"1,378",05/09/2017
General Election 2017,2017,PEN,Penticton,18-24,"1,016","2,143",05/09/2017
General Election 2017,2017,PEN,Penticton,25-34,"1,963","5,033",05/09/2017
General Election 2017,2017,PEN,Penticton,35-44,"2,477","5,123",05/09/2017
General Election 2017,2017,PEN,Penticton,45-54,"3,661","6,696",05/09/2017
General Election 2017,2017,PEN,Penticton,55-64,"6,610","9,955",05/09/2017
General Election 2017,2017,PEN,Penticton,65-74,"6,401","8,516",05/09/2017
General Election 2017,2017,PEN,Penticton,75+,"5,380","7,784",05/09/2017
General Election 2017,2017,POC,Port Coquitlam,18-24,"2,045","3,431",05/09/2017
General Election 2017,2017,POC,Port Coquitlam,25-34,"3,290","6,655",05/09/2017
General Election 2017,2017,POC,Port Coquitlam,35-44,"4,157","7,038",05/09/2017
General Election 2017,2017,POC,Port Coquitlam,45-54,"5,424","8,534",05/09/2017
General Election 2017,2017,POC,Port Coquitlam,55-64,"5,419","7,886",05/09/2017
General Election 2017,2017,POC,Port Coquitlam,65-74,"3,204","4,353",05/09/2017
General Election 2017,2017,POC,Port Coquitlam,75+,"1,826","2,724",05/09/2017
General Election 2017,2017,POM,Port Moody-Coquitlam,18-24,"2,035","3,229",05/09/2017
General Election 2017,2017,POM,Port Moody-Coquitlam,25-34,"3,005","5,938",05/09/2017
General Election 2017,2017,POM,Port Moody-Coquitlam,35-44,"4,146","6,691",05/09/2017
General Election 2017,2017,POM,Port Moody-Coquitlam,45-54,"5,555","8,289",05/09/2017
General Election 2017,2017,POM,Port Moody-Coquitlam,55-64,"5,066","7,140",05/09/2017
General Election 2017,2017,POM,Port Moody-Coquitlam,65-74,"3,207","4,212",05/09/2017
General Election 2017,2017,POM,Port Moody-Coquitlam,75+,"1,772","2,451",05/09/2017
General Election 2017,2017,POR,Powell River-Sunshine Coast,18-24,972,"1,580",05/09/2017
General Election 2017,2017,POR,Powell River-Sunshine Coast,25-34,"1,838","3,769",05/09/2017
General Election 2017,2017,POR,Powell River-Sunshine Coast,35-44,"2,563","4,299",05/09/2017
